category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF00005	4	8	0	2	0	2	0
PF00006	1	2	0	2	0	2	0
PF00011	6	12	0	2	0	2	0
PF00027	1	2	0	2	0	2	0
PF00043	4	11	1	3	1	2	0
PF00067	18	37	4	3	1	2	0
PF00069	14	28	1	2	1	2	0
PF00076	6	12	3	2	2	2	0
PF00078	8	17	0	3	0	2	0
PF00082	1	2	0	2	0	2	0
PF00091	3	6	0	2	0	2	0
PF00097	1	2	0	2	0	2	0
PF00098	13	28	1	4	1	2	0
PF00106	1	2	0	2	0	2	0
PF00107	4	11	0	4	0	2	0
PF00120	2	4	0	2	0	2	0
PF00125	1	2	0	2	0	2	0
PF00134	1	2	2	2	2	2	2
PF00141	5	13	1	5	1	2	0
PF00149	1	2	0	2	0	2	0
PF00153	2	4	2	2	2	2	0
PF00164	1	2	0	2	0	2	0
PF00179	2	4	0	2	0	2	0
PF00190	3	7	1	3	1	2	0
PF00201	1	4	1	4	1	4	1
PF00226	2	4	0	2	0	2	0
PF00227	2	4	1	2	1	2	0
PF00230	1	2	0	2	0	2	0
PF00240	1	2	1	2	1	2	1
PF00248	4	11	1	4	1	2	0
PF00270	2	4	0	2	0	2	0
PF00271	2	4	0	2	0	2	0
PF00291	1	2	0	2	0	2	0
PF00305	1	2	1	2	1	2	1
PF00350	2	4	1	2	1	2	0
PF00361	1	2	0	2	0	2	0
PF00385	4	8	0	2	0	2	0
PF00400	3	6	2	2	2	2	0
PF00403	7	14	1	2	1	2	0
PF00407	6	12	0	2	0	2	0
PF00464	1	2	1	2	1	2	1
PF00481	2	5	0	3	0	2	0
PF00504	3	6	0	2	0	2	0
PF00505	1	2	1	2	1	2	1
PF00507	1	2	0	2	0	2	0
PF00514	1	2	0	2	0	2	0
PF00515	1	2	0	2	0	2	0
PF00538	2	4	0	2	0	2	0
PF00550	1	2	2	2	2	2	2
PF00560	3	6	0	2	0	2	0
PF00565	1	2	0	2	0	2	0
PF00583	1	2	0	2	0	2	0
PF00641	1	2	2	2	2	2	2
PF00657	3	6	1	2	1	2	0
PF00665	21	44	5	3	1	2	0
PF00684	1	2	0	2	0	2	0
PF00704	1	2	0	2	0	2	0
PF00722	4	8	0	2	0	2	0
PF00724	1	2	0	2	0	2	0
PF00732	1	2	0	2	0	2	0
PF00847	2	4	0	2	0	2	0
PF00891	2	4	0	2	0	2	0
PF00931	9	20	3	3	1	2	0
PF00933	1	2	0	2	0	2	0
PF00957	1	2	0	2	0	2	0
PF01031	2	4	1	2	1	2	0
PF01061	3	6	0	2	0	2	0
PF01070	1	2	0	2	0	2	0
PF01112	1	2	0	2	0	2	0
PF01184	1	2	0	2	0	2	0
PF01233	1	2	0	2	0	2	0
PF01329	1	2	1	2	1	2	1
PF01357	1	2	0	2	0	2	0
PF01370	3	7	1	3	1	2	0
PF01388	1	2	1	2	1	2	1
PF01419	2	4	0	2	0	2	0
PF01423	1	2	0	2	0	2	0
PF01426	1	2	0	2	0	2	0
PF01453	3	6	0	2	0	2	0
PF01466	1	2	0	2	0	2	0
PF01490	1	3	0	3	0	3	0
PF01494	2	4	0	2	0	2	0
PF01535	7	14	4	2	2	2	0
PF01545	1	2	0	2	0	2	0
PF01556	1	2	0	2	0	2	0
PF01565	1	2	0	2	0	2	0
PF01578	1	2	0	2	0	2	0
PF01680	1	2	0	2	0	2	0
PF01698	1	2	0	2	0	2	0
PF01704	1	2	1	2	1	2	1
PF01738	1	3	0	3	0	3	0
PF01780	1	2	0	2	0	2	0
PF01915	1	2	0	2	0	2	0
PF01926	1	2	0	2	0	2	0
PF02115	1	2	0	2	0	2	0
PF02136	1	2	0	2	0	2	0
PF02212	2	4	1	2	1	2	0
PF02458	1	2	0	2	0	2	0
PF02469	2	4	0	2	0	2	0
PF02485	1	2	0	2	0	2	0
PF02496	4	8	2	2	2	2	0
PF02519	3	6	0	2	0	2	0
PF02798	4	8	1	2	1	2	0
PF02799	1	2	0	2	0	2	0
PF02874	1	2	0	2	0	2	0
PF02984	1	2	2	2	2	2	2
PF02992	2	4	0	2	0	2	0
PF03018	3	7	0	3	0	2	0
PF03055	1	3	1	3	1	3	1
PF03080	1	2	0	2	0	2	0
PF03083	1	2	0	2	0	2	0
PF03110	1	2	0	2	0	2	0
PF03140	2	4	0	2	0	2	0
PF03168	1	2	0	2	0	2	0
PF03169	1	2	0	2	0	2	0
PF03171	1	2	0	2	0	2	0
PF03254	2	4	0	2	0	2	0
PF03330	2	5	0	3	0	2	0
PF03407	2	4	1	2	1	2	0
PF03600	1	2	0	2	0	2	0
PF03732	2	4	0	2	0	2	0
PF03807	1	2	1	2	1	2	1
PF03931	1	2	0	2	0	2	0
PF03951	2	4	0	2	0	2	0
PF03953	3	6	0	2	0	2	0
PF04057	1	2	1	2	1	2	1
PF04109	1	2	0	2	0	2	0
PF04525	2	4	0	2	0	2	0
PF04576	1	2	0	2	0	2	0
PF04577	1	2	0	2	0	2	0
PF04833	1	2	0	2	0	2	0
PF04885	1	9	2	9	2	9	2
PF05018	1	2	0	2	0	2	0
PF05056	1	2	0	2	0	2	0
PF05057	2	4	0	2	0	2	0
PF05078	1	2	0	2	0	2	0
PF05199	1	2	0	2	0	2	0
PF05368	2	4	0	2	0	2	0
PF05641	1	2	0	2	0	2	0
PF05922	1	2	0	2	0	2	0
PF05938	2	5	0	3	0	2	0
PF05970	8	16	0	2	0	2	0
PF06351	1	2	0	2	0	2	0
PF06955	3	6	0	2	0	2	0
PF07004	1	2	0	2	0	2	0
PF07058	1	2	0	2	0	2	0
PF07367	2	4	0	2	0	2	0
PF07690	2	4	1	2	1	2	0
PF07714	18	41	6	3	2	2	0
PF07727	2	4	0	2	0	2	0
PF07883	10	23	2	4	1	2	0
PF08100	2	4	0	2	0	2	0
PF08240	3	9	0	4	0	2	0
PF08263	4	8	0	2	0	2	0
PF08370	2	4	0	2	0	2	0
PF08417	1	2	0	2	0	2	0
PF08423	1	2	0	2	0	2	0
PF08450	1	2	0	2	0	2	0
PF08477	1	2	0	2	0	2	0
PF08513	1	2	1	2	1	2	1
PF08627	1	2	0	2	0	2	0
PF08881	2	6	0	3	0	3	0
PF09265	1	2	0	2	0	2	0
PF09337	5	10	0	2	0	2	0
PF10067	1	2	0	2	0	2	0
PF12296	1	2	0	2	0	2	0
PF12695	2	4	1	2	1	2	0
PF12697	1	2	0	2	0	2	0
PF12796	3	6	0	2	0	2	0
PF12799	1	2	0	2	0	2	0
PF13041	9	18	3	2	1	2	0
PF13129	1	2	0	2	0	2	0
PF13360	1	2	0	2	0	2	0
PF13371	3	6	0	2	0	2	0
