cluster_id	category	chr	start	end	n_features	n_bystanders
C1	PF00004	super_23	322494	355885	2	0
C2	PF00005	super_14	3322300	3336282	2	0
C3	PF00005	super_28	1567022	1597191	2	0
C4	PF00005	super_4	800191	826668	2	0
C5	PF00005	super_4	1162473	1189637	2	0
C6	PF00005	super_40	401531	427795	2	0
C7	PF00005	super_41	583749	638504	3	0
C8	PF00006	super_92	739102	749498	2	0
C9	PF00010	super_328	78735	108182	2	1
C10	PF00011	super_9	1300652	1304229	2	0
C11	PF00011	super_66	910913	914402	2	0
C12	PF00011	super_62	1451492	1454152	2	0
C13	PF00011	super_107	1063082	1076325	2	0
C14	PF00011	super_25	1898524	1902605	2	0
C15	PF00011	super_62	1225456	1228878	2	0
C16	PF00026	super_179	301622	327482	2	0
C17	PF00027	super_78	452649	457431	2	0
C18	PF00043	super_56	1300820	1317794	2	0
C19	PF00043	super_76	803869	810145	2	0
C20	PF00043	super_513	12799	30359	3	0
C21	PF00043	super_163	89719	105158	3	1
C22	PF00043	super_5	3306142	3336723	4	0
C23	PF00043	super_5	3219610	3242459	2	0
C24	PF00043	super_51	264816	283373	2	0
C25	PF00067	super_253	55927	66027	2	0
C26	PF00067	super_66	615542	637106	2	0
C27	PF00067	super_56	446303	459831	2	0
C28	PF00067	super_52	91045	132501	3	1
C29	PF00067	super_5	2880903	2892496	2	1
C30	PF00067	super_46	125071	139554	2	0
C31	PF00067	super_42	996779	999610	2	0
C32	PF00067	super_362	1715	13921	2	0
C33	PF00067	super_310	41208	59329	2	0
C34	PF00067	super_308	8990	22020	3	0
C35	PF00067	super_27	387126	389736	2	0
C36	PF00067	super_23	991594	1000637	2	0
C37	PF00067	super_92	529942	560149	3	1
C38	PF00067	super_212	13402	26099	2	0
C39	PF00067	super_218	50815	71488	2	0
C40	PF00067	super_0	6987281	7004752	2	0
C41	PF00067	super_12	588355	604183	2	0
C42	PF00067	super_130	375069	404522	3	1
C43	PF00067	super_132	243835	267224	2	0
