category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF00004	3	6	4	2	2	2	0
PF00005	8	17	15	3	11	2	0
PF00006	1	2	0	2	0	2	0
PF00009	2	4	3	2	2	2	1
PF00010	3	6	2	2	1	2	0
PF00011	6	12	0	2	0	2	0
PF00012	2	5	15	3	9	2	6
PF00025	1	2	9	2	9	2	9
PF00026	1	2	0	2	0	2	0
PF00027	1	2	0	2	0	2	0
PF00043	7	20	4	6	2	2	0
PF00046	5	10	6	2	3	2	0
PF00067	34	92	58	6	8	2	0
PF00069	80	199	253	8	13	2	0
PF00071	1	2	5	2	5	2	5
PF00076	12	25	27	3	7	2	0
PF00078	23	50	40	3	6	2	0
PF00081	1	2	1	2	1	2	1
PF00082	1	2	0	2	0	2	0
PF00085	1	2	6	2	6	2	6
PF00091	3	8	0	3	0	2	0
PF00097	1	2	0	2	0	2	0
PF00098	23	55	29	5	4	2	0
PF00106	2	4	1	2	1	2	0
PF00107	7	20	4	7	3	2	0
PF00112	1	2	9	2	9	2	9
PF00118	1	2	9	2	9	2	9
PF00119	1	2	3	2	3	2	3
PF00120	2	4	0	2	0	2	0
PF00122	1	2	0	2	0	2	0
PF00125	1	2	0	2	0	2	0
PF00134	1	2	2	2	2	2	2
PF00139	4	18	17	9	6	2	1
PF00141	17	44	17	6	5	2	0
PF00149	1	2	0	2	0	2	0
PF00153	7	14	15	2	6	2	0
PF00160	1	2	0	2	0	2	0
PF00163	1	2	9	2	9	2	9
PF00164	1	2	0	2	0	2	0
PF00168	1	2	5	2	5	2	5
PF00170	1	2	3	2	3	2	3
PF00171	1	2	0	2	0	2	0
PF00179	6	12	17	2	6	2	0
PF00182	1	2	1	2	1	2	1
PF00187	2	6	4	4	3	2	1
PF00190	6	15	8	5	5	2	0
PF00195	3	6	3	2	2	2	0
PF00201	5	14	5	4	4	2	0
PF00221	1	2	2	2	2	2	2
PF00224	1	2	2	2	2	2	2
PF00225	2	4	7	2	5	2	2
PF00226	6	13	15	3	6	2	0
PF00227	2	4	1	2	1	2	0
PF00230	1	2	0	2	0	2	0
PF00240	2	4	1	2	1	2	0
PF00244	2	5	6	3	3	2	3
PF00248	4	20	18	13	15	2	0
PF00249	11	22	28	2	8	2	0
PF00251	3	8	2	3	2	2	0
PF00264	1	2	2	2	2	2	2
PF00270	3	6	0	2	0	2	0
PF00271	5	10	11	2	9	2	0
PF00274	1	2	3	2	3	2	3
PF00291	2	5	3	3	3	2	0
PF00305	2	4	2	2	1	2	1
PF00313	1	2	2	2	2	2	2
PF00314	4	8	3	2	2	2	0
PF00319	1	2	4	2	4	2	4
PF00332	1	3	0	3	0	3	0
PF00350	3	6	3	2	2	2	0
PF00355	1	3	6	3	6	3	6
PF00361	2	5	10	3	10	2	0
PF00385	10	21	24	3	5	2	0
PF00400	13	27	58	3	11	2	0
PF00403	11	37	18	9	8	2	0
PF00407	6	18	8	6	8	2	0
PF00450	1	2	0	2	0	2	0
PF00462	3	7	0	3	0	2	0
PF00464	1	2	1	2	1	2	1
PF00467	1	2	6	2	6	2	6
PF00481	2	8	3	6	3	2	0
PF00487	1	2	0	2	0	2	0
PF00501	3	6	15	2	9	2	0
PF00504	4	8	0	2	0	2	0
PF00505	2	4	1	2	1	2	0
PF00507	1	2	0	2	0	2	0
PF00514	1	3	1	3	1	3	1
PF00515	2	4	1	2	1	2	0
PF00533	1	2	2	2	2	2	2
PF00534	1	2	6	2	6	2	6
PF00538	3	9	2	4	2	2	0
PF00544	1	2	0	2	0	2	0
PF00550	1	2	2	2	2	2	2
PF00557	1	2	2	2	2	2	2
PF00560	8	16	13	2	5	2	0
PF00561	2	4	8	2	5	2	3
PF00565	1	2	0	2	0	2	0
PF00571	1	2	3	2	3	2	3
PF00574	1	2	3	2	3	2	3
PF00575	1	2	2	2	2	2	2
PF00578	1	2	4	2	4	2	4
PF00583	1	2	0	2	0	2	0
PF00588	1	2	1	2	1	2	1
PF00622	1	2	1	2	1	2	1
PF00628	1	2	4	2	4	2	4
PF00638	1	2	2	2	2	2	2
PF00641	1	2	2	2	2	2	2
PF00651	1	2	4	2	4	2	4
PF00657	4	11	6	4	3	2	0
PF00665	26	64	26	5	4	2	0
PF00684	2	5	1	3	1	2	0
PF00689	1	2	0	2	0	2	0
PF00690	1	2	0	2	0	2	0
PF00702	1	2	0	2	0	2	0
PF00704	2	4	0	2	0	2	0
PF00722	6	14	3	4	2	2	0
PF00724	4	9	6	3	4	2	0
PF00732	1	2	0	2	0	2	0
PF00733	1	2	0	2	0	2	0
PF00795	1	2	1	2	1	2	1
PF00808	1	2	0	2	0	2	0
PF00847	7	16	15	3	7	2	0
PF00860	1	2	3	2	3	2	3
PF00891	4	10	6	4	4	2	0
PF00892	2	4	0	2	0	2	0
PF00900	1	2	6	2	6	2	6
PF00909	2	4	0	2	0	2	0
PF00926	1	2	2	2	2	2	2
PF00929	1	2	2	2	2	2	2
PF00931	31	72	75	4	10	2	0
PF00933	1	2	0	2	0	2	0
PF00954	2	4	1	2	1	2	0
PF00957	1	2	0	2	0	2	0
PF00984	1	2	0	2	0	2	0
PF01031	4	8	9	2	6	2	0
PF01061	5	11	4	3	4	2	0
PF01070	1	2	0	2	0	2	0
PF01073	1	2	1	2	1	2	1
PF01095	2	4	2	2	1	2	1
PF01103	1	2	0	2	0	2	0
PF01112	2	4	0	2	0	2	0
PF01157	1	2	10	2	10	2	10
PF01161	1	2	0	2	0	2	0
PF01168	1	2	2	2	2	2	2
PF01184	1	3	1	3	1	3	1
PF01198	1	2	3	2	3	2	3
PF01208	1	2	1	2	1	2	1
PF01233	1	2	0	2	0	2	0
PF01255	1	2	0	2	0	2	0
PF01329	1	2	1	2	1	2	1
PF01336	1	2	2	2	2	2	2
PF01344	2	4	0	2	0	2	0
PF01357	4	12	5	4	4	2	0
PF01370	5	14	13	6	5	2	0
PF01388	2	4	1	2	1	2	0
PF01397	1	2	1	2	1	2	1
PF01406	1	2	2	2	2	2	2
PF01419	6	14	7	3	3	2	0
PF01423	3	9	6	5	4	2	0
PF01426	3	8	13	3	9	2	1
PF01453	8	23	17	5	5	2	0
PF01466	1	2	0	2	0	2	0
PF01476	1	2	0	2	0	2	0
PF01477	1	2	1	2	1	2	1
PF01479	1	2	9	2	9	2	9
PF01490	5	12	6	4	5	2	0
PF01494	3	9	6	4	6	2	0
PF01501	1	2	5	2	5	2	5
PF01529	1	2	0	2	0	2	0
PF01535	23	52	68	4	11	2	0
PF01536	1	2	2	2	2	2	2
PF01541	1	2	1	2	1	2	1
PF01545	1	2	0	2	0	2	0
PF01554	1	2	0	2	0	2	0
PF01556	3	7	4	3	3	2	0
PF01565	1	2	0	2	0	2	0
PF01578	1	2	0	2	0	2	0
PF01582	4	13	24	5	13	2	0
PF01585	1	2	2	2	2	2	2
PF01593	2	4	0	2	0	2	0
PF01643	1	2	0	2	0	2	0
PF01676	1	2	2	2	2	2	2
PF01680	1	2	0	2	0	2	0
PF01698	1	2	0	2	0	2	0
PF01704	1	2	1	2	1	2	1
PF01734	2	6	4	4	3	2	1
PF01738	1	4	0	4	0	4	0
PF01762	1	2	8	2	8	2	8
PF01764	1	2	4	2	4	2	4
PF01780	1	2	0	2	0	2	0
PF01852	1	2	1	2	1	2	1
PF01915	1	2	0	2	0	2	0
PF01926	4	8	7	2	4	2	0
PF02115	2	4	0	2	0	2	0
PF02136	1	2	0	2	0	2	0
PF02183	3	6	2	2	1	2	0
PF02207	1	2	5	2	5	2	5
PF02212	4	8	9	2	6	2	0
PF02338	1	2	4	2	4	2	4
PF02362	2	5	11	3	9	2	2
PF02458	1	2	0	2	0	2	0
PF02469	2	4	0	2	0	2	0
PF02485	2	4	3	2	3	2	0
PF02496	6	22	13	7	9	2	0
PF02507	1	2	1	2	1	2	1
PF02518	1	2	7	2	7	2	7
PF02519	3	6	0	2	0	2	0
PF02668	1	2	0	2	0	2	0
PF02671	1	2	6	2	6	2	6
PF02701	5	10	0	2	0	2	0
PF02705	1	2	6	2	6	2	6
PF02777	1	2	1	2	1	2	1
PF02797	2	4	3	2	2	2	1
PF02798	6	15	2	5	1	2	0
PF02799	1	2	0	2	0	2	0
PF02874	1	2	0	2	0	2	0
PF02887	1	2	2	2	2	2	2
PF02984	1	2	2	2	2	2	2
PF02992	9	19	20	3	4	2	0
PF03007	1	2	4	2	4	2	4
PF03016	3	6	2	2	1	2	0
PF03018	2	11	5	9	5	2	0
PF03055	1	5	2	5	2	5	2
PF03080	1	2	0	2	0	2	0
PF03083	1	2	0	2	0	2	0
PF03105	3	6	6	2	6	2	0
PF03110	3	6	1	2	1	2	0
PF03124	1	2	0	2	0	2	0
PF03134	1	2	4	2	4	2	4
PF03140	4	16	4	7	2	2	0
PF03143	1	2	1	2	1	2	1
PF03144	2	4	3	2	2	2	1
PF03168	2	4	0	2	0	2	0
PF03169	2	4	0	2	0	2	0
PF03171	9	19	24	3	10	2	0
PF03184	3	6	12	2	6	2	3
PF03188	1	2	0	2	0	2	0
PF03222	1	2	1	2	1	2	1
PF03254	2	6	4	4	4	2	0
PF03297	1	3	0	3	0	3	0
PF03330	6	18	7	4	4	2	0
PF03358	1	2	0	2	0	2	0
PF03407	2	7	7	4	6	3	1
PF03473	1	2	0	2	0	2	0
PF03476	1	2	0	2	0	2	0
PF03492	2	7	0	5	0	2	0
PF03514	3	6	9	2	6	2	0
PF03600	1	2	0	2	0	2	0
PF03652	1	2	1	2	1	2	1
PF03720	1	2	0	2	0	2	0
PF03721	1	2	0	2	0	2	0
PF03732	2	4	0	2	0	2	0
PF03781	2	4	4	2	3	2	1
PF03807	1	4	5	4	5	4	5
PF03931	1	2	0	2	0	2	0
PF03936	2	4	2	2	1	2	1
PF03946	1	2	8	2	8	2	8
PF03951	2	4	0	2	0	2	0
PF03953	3	8	0	3	0	2	0
PF03999	1	2	1	2	1	2	1
PF04057	1	2	1	2	1	2	1
PF04096	1	2	3	2	3	2	3
PF04109	1	2	0	2	0	2	0
PF04321	1	2	1	2	1	2	1
PF04408	1	2	2	2	2	2	2
PF04438	1	2	1	2	1	2	1
PF04525	3	10	10	6	6	2	0
PF04535	2	4	1	2	1	2	0
PF04564	1	2	1	2	1	2	1
PF04576	2	4	0	2	0	2	0
PF04577	2	4	1	2	1	2	0
PF04749	1	3	8	3	8	3	8
PF04784	2	4	10	2	6	2	4
PF04795	1	2	1	2	1	2	1
PF04833	1	2	0	2	0	2	0
PF04845	1	2	2	2	2	2	2
PF04885	1	9	2	9	2	9	2
PF05018	1	2	0	2	0	2	0
PF05050	1	3	2	3	2	3	2
PF05056	1	3	1	3	1	3	1
PF05057	4	8	3	2	2	2	0
PF05078	2	5	0	3	0	2	0
PF05199	1	2	0	2	0	2	0
PF05217	1	2	3	2	3	2	3
PF05368	3	6	1	2	1	2	0
PF05637	2	4	3	2	3	2	0
PF05641	2	7	10	4	8	3	2
PF05729	4	11	17	4	14	2	0
PF05755	1	2	1	2	1	2	1
PF05922	1	2	0	2	0	2	0
PF05938	4	10	4	4	3	2	0
PF05970	18	36	47	2	8	2	0
PF05990	1	2	0	2	0	2	0
PF06273	1	2	2	2	2	2	2
PF06293	1	2	0	2	0	2	0
PF06351	2	5	4	3	4	2	0
PF06415	1	2	2	2	2	2	2
PF06747	1	2	5	2	5	2	5
PF06749	1	3	1	3	1	3	1
PF06760	2	4	1	2	1	2	0
PF06813	1	2	1	2	1	2	1
PF06839	1	2	5	2	5	2	5
PF06955	5	12	3	4	2	2	0
PF06974	1	2	4	2	4	2	4
PF06978	1	2	0	2	0	2	0
PF06991	1	2	8	2	8	2	8
PF07004	1	2	0	2	0	2	0
PF07058	1	2	0	2	0	2	0
PF07200	1	2	5	2	5	2	5
PF07250	4	9	1	3	1	2	0
PF07367	4	8	5	2	5	2	0
PF07645	1	2	1	2	1	2	1
PF07690	5	11	9	3	3	2	0
PF07707	1	2	4	2	4	2	4
PF07714	82	215	304	9	24	2	0
PF07717	1	2	2	2	2	2	2
PF07724	1	2	1	2	1	2	1
PF07727	8	18	11	3	6	2	0
PF07731	1	2	0	2	0	2	0
PF07748	1	2	6	2	6	2	6
PF07795	1	2	0	2	0	2	0
PF07842	1	2	2	2	2	2	2
PF07876	1	2	1	2	1	2	1
PF07883	9	33	7	9	3	2	0
PF07887	1	7	3	7	3	7	3
PF07910	1	3	5	3	5	3	5
PF07969	1	2	8	2	8	2	8
PF08071	1	2	6	2	6	2	6
PF08100	4	10	6	4	4	2	0
PF08132	1	2	1	2	1	2	1
PF08238	2	5	2	3	2	2	0
PF08240	5	15	2	7	1	2	0
PF08244	3	8	2	3	2	2	0
PF08263	9	24	26	4	6	2	0
PF08276	1	2	0	2	0	2	0
PF08295	1	2	6	2	6	2	6
PF08370	2	5	0	3	0	2	0
PF08417	1	4	5	4	5	4	5
PF08423	1	2	0	2	0	2	0
PF08450	1	3	4	3	4	3	4
PF08477	1	2	0	2	0	2	0
PF08513	1	2	1	2	1	2	1
PF08541	1	2	0	2	0	2	0
PF08627	1	2	0	2	0	2	0
PF08659	2	5	3	3	2	2	1
PF08881	2	10	1	8	1	2	0
PF08911	1	2	2	2	2	2	2
PF09118	4	9	1	3	1	2	0
PF09173	1	2	2	2	2	2	2
PF09265	1	2	0	2	0	2	0
PF09337	7	15	7	3	4	2	0
PF10017	1	2	1	2	1	2	1
PF10067	1	4	0	4	0	4	0
PF10235	1	2	1	2	1	2	1
PF10237	1	3	5	3	5	3	5
PF10294	1	2	10	2	10	2	10
PF11145	2	5	0	3	0	2	0
PF11721	1	2	4	2	4	2	4
PF11937	1	2	0	2	0	2	0
PF11960	1	2	0	2	0	2	0
PF12142	1	2	2	2	2	2	2
PF12143	1	2	2	2	2	2	2
PF12296	1	2	0	2	0	2	0
PF12348	1	2	0	2	0	2	0
PF12457	1	2	2	2	2	2	2
PF12481	1	2	0	2	0	2	0
PF12515	1	2	0	2	0	2	0
PF12695	3	7	9	3	5	2	1
PF12697	3	6	8	2	5	2	0
PF12796	16	43	20	6	4	2	0
PF12799	3	6	5	2	4	2	0
PF12819	15	31	20	3	4	2	0
PF12899	1	2	3	2	3	2	3
PF12937	2	4	2	2	1	2	1
PF13041	22	51	76	4	15	2	0
PF13086	1	2	0	2	0	2	0
PF13087	1	2	0	2	0	2	0
PF13091	1	3	4	3	4	3	4
PF13129	1	3	1	3	1	3	1
PF13193	2	4	9	2	9	2	0
PF13202	1	2	3	2	3	2	3
PF13347	1	2	0	2	0	2	0
PF13359	1	2	6	2	6	2	6
PF13360	2	5	2	3	2	2	0
PF13371	7	17	4	4	3	2	0
PF13409	1	2	0	2	0	2	0
PF13410	2	5	2	3	2	2	0
PF13414	3	6	2	2	2	2	0
PF13417	2	4	4	2	3	2	1
PF13419	1	2	4	2	4	2	4
PF13489	1	3	7	3	7	3	7
PF13499	6	12	21	2	7	2	1
PF13528	1	2	10	2	10	2	10
PF13561	8	24	24	9	7	2	0
PF13579	1	2	11	2	11	2	11
PF13630	1	2	1	2	1	2	1
PF13632	2	4	3	2	3	2	0
PF13637	2	5	8	3	5	2	3
PF13639	5	10	17	2	7	2	0
PF13650	2	4	0	2	0	2	0
PF13668	2	4	0	2	0	2	0
PF13672	3	6	0	2	0	2	0
PF13676	1	2	0	2	0	2	0
PF13774	1	2	0	2	0	2	0
PF13833	1	2	0	2	0	2	0
PF13837	3	6	5	2	5	2	0
PF13839	1	2	1	2	1	2	1
PF13855	13	32	33	6	6	2	0
PF13857	4	8	8	2	5	2	0
PF13911	1	2	0	2	0	2	0
PF13920	3	6	13	2	10	2	1
PF13947	1	2	1	2	1	2	1
PF13952	1	4	10	4	10	4	10
PF13960	6	12	18	2	4	2	2
PF13961	8	19	8	3	4	2	0
PF13962	12	31	12	5	3	2	0
PF13976	19	55	23	6	5	2	0
PF14009	3	6	0	2	0	2	0
PF14144	1	3	1	3	1	3	1
PF14214	8	16	38	2	8	2	0
PF14223	7	14	7	2	3	2	0
PF14226	6	14	7	3	2	2	0
PF14227	26	84	25	7	4	2	0
PF14244	1	2	0	2	0	2	0
PF14309	1	2	3	2	3	2	3
PF14368	3	9	2	5	1	2	0
PF14379	3	6	3	2	2	2	0
PF14383	1	2	3	2	3	2	3
PF14389	2	4	10	2	6	2	4
PF14416	1	2	1	2	1	2	1
PF14432	11	25	26	4	6	2	0
PF14476	3	12	11	6	10	2	0
PF14497	1	3	8	3	8	3	8
PF14510	2	5	0	3	0	2	0
PF14531	1	2	5	2	5	2	5
PF14541	1	3	4	3	4	3	4
PF14580	1	2	7	2	7	2	7
PF14714	1	2	3	2	3	2	3
