category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF00004	7	14	65	2	21	2	0
PF00005	13	27	78	3	24	2	0
PF00006	1	2	0	2	0	2	0
PF00009	3	6	16	2	13	2	1
PF00010	3	6	2	2	1	2	0
PF00011	5	12	20	4	20	2	0
PF00012	2	5	15	3	9	2	6
PF00013	1	2	7	2	7	2	7
PF00025	3	8	59	4	34	2	8
PF00026	1	3	16	3	16	3	16
PF00027	2	4	11	2	11	2	0
PF00043	7	20	4	6	2	2	0
PF00046	7	14	13	2	5	2	0
PF00067	39	110	189	6	17	2	0
PF00069	116	284	817	8	23	2	0
PF00071	1	2	5	2	5	2	5
PF00076	19	44	201	4	29	2	0
PF00078	31	69	152	4	19	2	0
PF00081	1	2	1	2	1	2	1
PF00082	1	2	0	2	0	2	0
PF00085	5	10	59	2	17	2	6
PF00091	3	8	0	3	0	2	0
PF00097	1	2	0	2	0	2	0
PF00098	26	62	80	5	19	2	0
PF00106	2	4	1	2	1	2	0
PF00107	7	20	4	7	3	2	0
PF00112	1	2	9	2	9	2	9
PF00118	1	2	9	2	9	2	9
PF00119	1	2	3	2	3	2	3
PF00120	2	4	0	2	0	2	0
PF00122	2	4	21	2	21	2	0
PF00125	1	2	0	2	0	2	0
PF00134	1	2	2	2	2	2	2
PF00139	4	18	17	9	6	2	1
PF00141	17	45	22	6	7	2	0
PF00149	4	8	51	2	21	2	0
PF00153	10	20	49	2	15	2	0
PF00160	1	2	0	2	0	2	0
PF00163	1	2	9	2	9	2	9
PF00164	1	2	0	2	0	2	0
PF00168	3	6	21	2	10	2	5
PF00170	1	2	3	2	3	2	3
PF00171	1	2	0	2	0	2	0
PF00179	7	15	34	3	14	2	0
PF00182	2	4	15	2	14	2	1
PF00187	2	6	4	4	3	2	1
PF00190	6	15	8	5	5	2	0
PF00195	3	6	3	2	2	2	0
PF00201	5	14	5	4	4	2	0
PF00221	1	2	2	2	2	2	2
PF00224	1	2	2	2	2	2	2
PF00225	2	4	7	2	5	2	2
PF00226	9	20	70	3	31	2	0
PF00227	3	6	9	2	8	2	0
PF00230	2	4	17	2	17	2	0
PF00238	1	2	8	2	8	2	8
PF00240	2	4	1	2	1	2	0
PF00244	2	5	6	3	3	2	3
PF00248	4	20	18	13	15	2	0
PF00249	13	27	59	3	15	2	0
PF00251	3	8	2	3	2	2	0
PF00264	1	2	2	2	2	2	2
PF00270	4	8	12	2	12	2	0
PF00271	8	16	51	2	14	2	0
PF00274	1	2	3	2	3	2	3
PF00291	2	5	3	3	3	2	0
PF00294	1	2	9	2	9	2	9
PF00305	2	4	2	2	1	2	1
PF00313	1	2	2	2	2	2	2
PF00314	4	8	3	2	2	2	0
PF00319	1	2	4	2	4	2	4
PF00332	1	3	0	3	0	3	0
PF00350	3	6	3	2	2	2	0
PF00355	1	3	6	3	6	3	6
PF00361	2	5	10	3	10	2	0
PF00385	12	27	46	3	11	2	0
PF00400	20	42	143	3	19	2	0
PF00403	14	43	68	9	21	2	0
PF00407	6	18	8	6	8	2	0
PF00412	1	2	17	2	17	2	17
PF00450	1	2	0	2	0	2	0
PF00462	3	7	0	3	0	2	0
PF00464	1	2	1	2	1	2	1
PF00466	1	2	5	2	5	2	5
PF00467	1	2	6	2	6	2	6
PF00481	2	8	3	6	3	2	0
PF00487	1	2	0	2	0	2	0
PF00498	1	2	17	2	17	2	17
PF00501	3	6	15	2	9	2	0
PF00504	4	8	0	2	0	2	0
PF00505	2	4	1	2	1	2	0
PF00507	1	2	0	2	0	2	0
PF00514	3	7	33	3	16	2	1
PF00515	2	4	1	2	1	2	0
PF00533	1	2	2	2	2	2	2
PF00534	1	2	6	2	6	2	6
PF00538	3	9	2	4	2	2	0
PF00544	1	2	0	2	0	2	0
PF00550	1	2	2	2	2	2	2
PF00557	1	2	2	2	2	2	2
PF00560	12	27	78	5	19	2	0
PF00561	2	4	8	2	5	2	3
PF00565	1	2	0	2	0	2	0
PF00571	2	4	10	2	7	2	3
PF00574	1	2	3	2	3	2	3
PF00575	1	2	2	2	2	2	2
PF00578	1	2	4	2	4	2	4
PF00583	1	2	0	2	0	2	0
PF00588	1	2	1	2	1	2	1
PF00622	1	2	1	2	1	2	1
PF00628	2	4	11	2	7	2	4
PF00638	1	2	2	2	2	2	2
PF00641	1	2	2	2	2	2	2
PF00642	2	4	27	2	15	2	12
PF00646	3	7	44	3	29	2	6
PF00650	1	2	9	2	9	2	9
PF00651	2	5	29	3	17	2	12
PF00657	4	11	6	4	3	2	0
PF00664	1	2	8	2	8	2	8
PF00665	30	77	106	5	19	2	0
PF00684	2	5	1	3	1	2	0
PF00689	1	2	0	2	0	2	0
PF00690	1	2	0	2	0	2	0
PF00692	1	2	14	2	14	2	14
PF00702	1	2	0	2	0	2	0
PF00704	2	4	0	2	0	2	0
PF00722	7	17	10	4	7	2	0
PF00724	4	9	6	3	4	2	0
PF00732	1	2	0	2	0	2	0
PF00733	1	2	0	2	0	2	0
PF00790	1	2	13	2	13	2	13
PF00795	1	2	1	2	1	2	1
PF00808	2	4	14	2	14	2	0
PF00847	12	27	79	3	17	2	0
PF00856	1	2	6	2	6	2	6
PF00860	1	2	3	2	3	2	3
PF00891	4	10	6	4	4	2	0
PF00892	2	6	32	4	32	2	0
PF00900	1	2	6	2	6	2	6
PF00909	2	4	0	2	0	2	0
PF00926	1	2	2	2	2	2	2
PF00929	1	2	2	2	2	2	2
PF00931	38	91	210	4	32	2	0
PF00933	1	2	0	2	0	2	0
PF00954	2	4	1	2	1	2	0
PF00957	1	2	0	2	0	2	0
PF00984	1	2	0	2	0	2	0
PF01018	1	2	9	2	9	2	9
PF01031	4	8	9	2	6	2	0
PF01061	6	13	11	3	7	2	0
PF01070	1	2	0	2	0	2	0
PF01073	1	2	1	2	1	2	1
PF01095	2	4	2	2	1	2	1
PF01103	1	2	0	2	0	2	0
PF01112	2	4	0	2	0	2	0
PF01157	1	2	10	2	10	2	10
PF01161	2	4	10	2	10	2	0
PF01168	1	2	2	2	2	2	2
PF01184	1	3	1	3	1	3	1
PF01198	1	2	3	2	3	2	3
PF01208	1	2	1	2	1	2	1
PF01233	1	2	0	2	0	2	0
PF01248	1	3	18	3	18	3	18
PF01255	1	2	0	2	0	2	0
PF01329	1	2	1	2	1	2	1
PF01336	1	2	2	2	2	2	2
PF01344	3	6	16	2	16	2	0
PF01357	4	12	5	4	4	2	0
PF01370	5	14	13	6	5	2	0
PF01388	2	4	1	2	1	2	0
PF01397	1	2	1	2	1	2	1
PF01406	1	2	2	2	2	2	2
PF01419	6	14	7	3	3	2	0
PF01423	3	9	6	5	4	2	0
PF01426	3	8	13	3	9	2	1
PF01453	8	23	17	5	5	2	0
PF01459	1	2	13	2	13	2	13
PF01466	1	2	0	2	0	2	0
PF01476	1	2	0	2	0	2	0
PF01477	1	2	1	2	1	2	1
PF01479	1	2	9	2	9	2	9
PF01490	5	12	6	4	5	2	0
PF01494	3	9	6	4	6	2	0
PF01496	1	2	7	2	7	2	7
PF01501	1	2	5	2	5	2	5
PF01529	1	2	0	2	0	2	0
PF01535	36	87	322	4	30	2	0
PF01536	1	2	2	2	2	2	2
PF01541	1	2	1	2	1	2	1
PF01545	1	2	0	2	0	2	0
PF01554	1	2	0	2	0	2	0
PF01556	3	7	4	3	3	2	0
PF01565	1	2	0	2	0	2	0
PF01578	1	2	0	2	0	2	0
PF01582	5	16	52	5	20	2	0
PF01585	1	2	2	2	2	2	2
PF01593	2	4	0	2	0	2	0
PF01643	1	2	0	2	0	2	0
PF01676	1	2	2	2	2	2	2
PF01680	1	2	0	2	0	2	0
PF01698	1	2	0	2	0	2	0
PF01704	1	2	1	2	1	2	1
PF01734	3	9	12	5	6	2	3
PF01738	1	4	0	4	0	4	0
PF01762	1	2	8	2	8	2	8
PF01764	2	4	24	2	20	2	4
PF01780	1	2	0	2	0	2	0
PF01789	1	2	12	2	12	2	12
PF01852	1	2	1	2	1	2	1
PF01915	1	2	0	2	0	2	0
PF01926	6	13	55	3	21	2	0
PF02115	2	4	0	2	0	2	0
PF02133	1	2	22	2	22	2	22
PF02136	1	2	0	2	0	2	0
PF02182	1	2	19	2	19	2	19
PF02183	5	10	9	2	5	2	0
PF02190	1	2	13	2	13	2	13
PF02207	2	4	7	2	5	2	2
PF02212	4	8	9	2	6	2	0
PF02225	1	2	8	2	8	2	8
PF02338	1	2	4	2	4	2	4
PF02362	2	5	11	3	9	2	2
PF02450	1	2	8	2	8	2	8
PF02458	1	2	0	2	0	2	0
PF02466	1	2	4	2	4	2	4
PF02469	3	6	8	2	8	2	0
PF02485	2	4	3	2	3	2	0
PF02496	5	22	23	9	14	2	0
PF02507	1	2	1	2	1	2	1
PF02517	1	2	18	2	18	2	18
PF02518	2	4	19	2	12	2	7
PF02519	3	6	0	2	0	2	0
PF02668	1	2	0	2	0	2	0
PF02671	1	2	6	2	6	2	6
PF02701	5	10	0	2	0	2	0
PF02705	1	2	6	2	6	2	6
PF02777	2	4	4	2	3	2	1
PF02797	2	4	3	2	2	2	1
PF02798	6	15	2	5	1	2	0
PF02799	1	2	0	2	0	2	0
PF02874	1	2	0	2	0	2	0
PF02887	1	2	2	2	2	2	2
PF02984	1	2	2	2	2	2	2
PF02992	10	22	29	3	7	2	0
PF03007	1	2	4	2	4	2	4
PF03016	4	8	9	2	7	2	0
PF03018	2	11	5	9	5	2	0
PF03055	1	5	2	5	2	5	2
PF03080	1	2	0	2	0	2	0
PF03083	1	2	0	2	0	2	0
PF03105	3	6	6	2	6	2	0
PF03106	1	2	1	2	1	2	1
PF03110	3	6	1	2	1	2	0
PF03124	1	2	0	2	0	2	0
PF03127	1	2	13	2	13	2	13
PF03134	1	2	4	2	4	2	4
PF03140	4	16	4	7	2	2	0
PF03143	1	2	1	2	1	2	1
PF03144	3	6	16	2	13	2	1
PF03168	2	4	0	2	0	2	0
PF03169	2	4	0	2	0	2	0
PF03171	10	21	31	3	10	2	0
PF03184	3	6	12	2	6	2	3
PF03188	1	2	0	2	0	2	0
PF03222	1	2	1	2	1	2	1
PF03254	2	6	4	4	4	2	0
PF03297	1	3	0	3	0	3	0
PF03330	6	18	7	4	4	2	0
PF03358	1	2	0	2	0	2	0
PF03407	2	7	7	4	6	3	1
PF03468	1	2	14	2	14	2	14
PF03469	1	2	14	2	14	2	14
PF03473	1	2	0	2	0	2	0
PF03476	1	2	0	2	0	2	0
PF03492	3	9	8	5	8	2	0
PF03514	4	8	10	2	6	2	0
PF03600	1	2	0	2	0	2	0
PF03652	1	2	1	2	1	2	1
PF03720	1	2	0	2	0	2	0
PF03721	1	2	0	2	0	2	0
PF03732	2	4	0	2	0	2	0
PF03781	1	5	30	5	30	5	30
PF03798	1	2	21	2	21	2	21
PF03807	1	4	5	4	5	4	5
PF03931	1	2	0	2	0	2	0
PF03936	2	4	2	2	1	2	1
PF03946	1	2	8	2	8	2	8
PF03951	2	4	0	2	0	2	0
PF03953	3	8	0	3	0	2	0
PF03999	1	2	1	2	1	2	1
PF04057	1	2	1	2	1	2	1
PF04096	1	2	3	2	3	2	3
PF04109	1	2	0	2	0	2	0
PF04321	1	2	1	2	1	2	1
PF04408	1	2	2	2	2	2	2
PF04438	1	2	1	2	1	2	1
PF04525	3	10	10	6	6	2	0
PF04535	2	4	1	2	1	2	0
PF04564	2	4	17	2	16	2	1
PF04576	2	4	0	2	0	2	0
PF04577	2	4	1	2	1	2	0
PF04749	1	3	8	3	8	3	8
PF04784	2	4	10	2	6	2	4
PF04795	1	2	1	2	1	2	1
PF04833	1	2	0	2	0	2	0
PF04845	1	2	2	2	2	2	2
PF04851	1	2	14	2	14	2	14
PF04885	1	9	2	9	2	9	2
PF05018	1	2	0	2	0	2	0
PF05050	1	3	2	3	2	3	2
PF05056	1	3	1	3	1	3	1
PF05057	6	12	30	2	15	2	0
PF05078	2	5	0	3	0	2	0
PF05199	1	2	0	2	0	2	0
PF05217	1	3	11	3	11	3	11
PF05368	3	6	1	2	1	2	0
PF05637	2	4	3	2	3	2	0
PF05641	2	7	10	4	8	3	2
PF05729	4	11	17	4	14	2	0
PF05755	1	2	1	2	1	2	1
PF05922	2	4	22	2	22	2	0
PF05938	4	10	4	4	3	2	0
PF05970	27	58	218	3	22	2	0
PF05990	1	2	0	2	0	2	0
PF06241	1	2	8	2	8	2	8
PF06273	1	2	2	2	2	2	2
PF06293	1	2	0	2	0	2	0
PF06351	2	5	4	3	4	2	0
PF06415	1	2	2	2	2	2	2
PF06747	1	2	5	2	5	2	5
PF06749	1	3	1	3	1	3	1
PF06760	2	4	1	2	1	2	0
PF06813	1	2	1	2	1	2	1
PF06839	1	2	5	2	5	2	5
PF06955	6	15	10	4	7	2	0
PF06974	1	2	4	2	4	2	4
PF06978	1	2	0	2	0	2	0
PF06991	1	2	8	2	8	2	8
PF07004	1	2	0	2	0	2	0
PF07058	1	2	0	2	0	2	0
PF07200	1	2	5	2	5	2	5
PF07250	5	11	9	3	8	2	0
PF07367	4	8	5	2	5	2	0
PF07645	1	2	1	2	1	2	1
PF07690	5	12	14	3	5	2	1
PF07707	1	2	4	2	4	2	4
PF07714	100	278	847	9	30	2	0
PF07717	1	2	2	2	2	2	2
PF07722	1	2	15	2	15	2	15
PF07724	1	2	1	2	1	2	1
PF07727	10	24	60	3	19	2	0
PF07728	1	2	2	2	2	2	2
PF07731	2	4	7	2	7	2	0
PF07748	1	2	6	2	6	2	6
PF07795	1	2	0	2	0	2	0
PF07842	1	2	2	2	2	2	2
PF07876	1	2	1	2	1	2	1
PF07883	9	33	7	9	3	2	0
PF07887	1	7	3	7	3	7	3
PF07910	1	3	5	3	5	3	5
PF07969	1	2	8	2	8	2	8
PF08071	1	2	6	2	6	2	6
PF08100	4	10	6	4	4	2	0
PF08132	1	2	1	2	1	2	1
PF08238	2	5	2	3	2	2	0
PF08240	6	19	52	7	17	2	0
PF08244	3	8	2	3	2	2	0
PF08263	11	31	74	5	14	2	0
PF08276	1	2	0	2	0	2	0
