cluster_id	category	chr	start	end	n_features	n_bystanders
C1	PF00004	super_1	6207413	6549851	2	23
C2	PF00004	super_56	1028155	1181132	2	12
C3	PF00004	super_54	1608772	1668631	2	2
C4	PF00004	super_41	1918603	2141343	2	17
C5	PF00004	super_30	727200	1125890	2	26
C6	PF00004	super_53	1219966	1418247	2	21
C7	PF00004	super_23	322494	355885	2	0
C8	PF00004	super_20	243872	636372	2	25
C9	PF00004	super_179	338156	479798	2	11
C10	PF00004	super_126	13	49080	2	2
C11	PF00004	super_23	1582872	2419764	3	51
C12	PF00005	super_40	401531	694436	3	19
C13	PF00005	super_9	3905584	4117365	2	24
C14	PF00005	super_66	188169	338749	2	8
C15	PF00005	super_58	574236	710862	2	7
C16	PF00005	super_41	583749	638504	3	0
C17	PF00005	super_4	800191	1189637	4	14
C18	PF00005	super_48	15129	207459	2	12
C19	PF00005	super_28	1567022	1597191	2	0
C20	PF00005	super_17	1223557	1550816	2	19
C21	PF00005	super_152	252626	608041	2	24
C22	PF00005	super_14	3322300	3336282	2	0
C23	PF00005	super_14	1628658	1715586	2	11
C24	PF00005	super_12	1243162	1398866	2	12
C25	PF00005	super_34	1908560	2287699	3	24
C26	PF00006	super_92	739102	749498	2	0
C27	PF00009	super_16	2939183	3148829	2	13
C28	PF00009	super_17	1650248	1701158	2	2
C29	PF00009	super_5	233412	276419	2	1
C30	PF00010	super_71	244070	317915	2	1
C31	PF00010	super_59	1254585	1308168	2	0
C32	PF00010	super_48	1171461	1554366	2	20
C33	PF00010	super_23	2300338	2745294	2	25
C34	PF00010	super_328	78735	108182	2	1
C35	PF00010	super_20	1043094	1487519	2	29
C36	PF00010	super_40	319262	725309	2	31
C37	PF00011	super_107	1063082	1076325	2	0
C38	PF00011	super_25	1898524	1902605	2	0
C39	PF00011	super_62	1225456	1454152	4	20
C40	PF00011	super_66	910913	914402	2	0
C41	PF00011	super_9	1300652	1304229	2	0
C42	PF00012	super_108	64947	183452	3	6
C43	PF00012	super_73	527199	628762	2	9
C44	PF00013	super_0	9772988	9993267	2	7
C45	PF00022	super_84	381581	732436	2	18
C46	PF00025	super_16	1855970	2081265	2	17
C47	PF00025	super_20	1619867	2109688	4	34
C48	PF00025	super_231	221032	333425	2	8
C49	PF00026	super_179	301622	549109	3	16
C50	PF00026	super_3	668166	1152439	2	32
C51	PF00027	super_78	452649	457431	2	0
C52	PF00027	super_79	1053359	1298720	2	11
C53	PF00043	super_76	803869	810145	2	0
C54	PF00043	super_56	1300820	1317794	2	0
C55	PF00043	super_513	12799	30359	3	0
C56	PF00043	super_163	89719	105158	3	1
C57	PF00043	super_5	3219610	3336723	6	1
C58	PF00043	super_18	3055161	3084545	2	2
C59	PF00043	super_51	264816	283373	2	0
C60	PF00046	super_23	690303	803271	2	2
C61	PF00046	super_71	1457656	1498320	2	1
C62	PF00046	super_219	159810	196011	2	0
C63	PF00046	super_8	4427856	4463122	2	1
C64	PF00046	super_1	1192522	1416136	2	5
C65	PF00046	super_0	10187526	10285464	2	1
C66	PF00046	super_103	87734	139685	2	3
C67	PF00067	super_308	8990	22020	3	0
C68	PF00067	super_310	41208	59329	2	0
C69	PF00067	super_32	709540	831942	3	7
C70	PF00067	super_35	2043139	2417590	5	13
C71	PF00067	super_362	1715	13921	2	0
C72	PF00067	super_42	565069	1038860	4	39
C73	PF00067	super_44	819734	918586	2	6
C74	PF00067	super_46	125071	139554	2	0
C75	PF00067	super_47	1339111	1795693	2	36
C76	PF00067	super_52	91045	395890	4	22
C77	PF00067	super_56	227830	459831	3	15
C78	PF00067	super_6	3270614	3307593	2	4
C79	PF00067	super_61	143961	543025	3	30
C80	PF00067	super_66	321451	637106	4	17
C81	PF00067	super_66	1288393	1653216	2	14
C82	PF00067	super_77	656779	871776	2	10
C83	PF00067	super_8	4388646	4510835	2	6
C84	PF00067	super_92	342814	560149	4	10
C85	PF00067	super_289	19118	214431	2	13
C86	PF00067	super_5	2880903	2953561	3	5
C87	PF00067	super_27	387126	495555	3	7
C88	PF00067	super_253	31231	98269	4	2
C89	PF00067	super_12	588355	604183	2	0
C90	PF00067	super_256	260410	309389	2	0
C91	PF00067	super_0	6987281	7004752	2	0
C92	PF00067	super_103	47441	958750	3	67
C93	PF00067	super_117	389662	401182	2	0
C94	PF00067	super_121	469949	731742	2	22
C95	PF00067	super_130	375069	404522	3	1
C96	PF00067	super_132	243835	360625	6	1
C97	PF00067	super_14	1926508	2039573	2	9
C98	PF00067	super_16	2399574	2411321	2	1
C99	PF00067	super_134	609679	806789	2	12
C100	PF00067	super_187	222981	421745	3	14
C101	PF00067	super_196	126540	266739	5	7
C102	PF00067	super_2	90081	226814	2	8
C103	PF00067	super_21	2070659	2648573	6	34
C104	PF00067	super_212	13402	26099	2	0
C105	PF00067	super_214	261748	336874	2	2
C106	PF00067	super_218	50815	71488	2	0
C107	PF00067	super_23	991594	1000637	2	0
C108	PF00067	super_25	1683404	1738490	2	6
C109	PF00067	super_167	184109	362388	6	8
C110	PF00069	super_45	1894174	2045145	2	10
C111	PF00069	super_403	11860	62103	2	3
C112	PF00069	super_414	9381	73714	2	2
C113	PF00069	super_42	1155973	1978753	3	67
C114	PF00069	super_44	416453	525414	2	12
C115	PF00069	super_450	4495	17587	2	0
C116	PF00069	super_258	5200	9100	2	0
C117	PF00069	super_464	42523	50127	2	0
C118	PF00069	super_47	395496	982683	3	42
C119	PF00069	super_472	10633	40900	2	1
C120	PF00069	super_49	377986	1010681	7	42
C121	PF00069	super_5	3084337	3503472	2	27
C122	PF00069	super_40	2279607	2369044	3	3
C123	PF00069	super_451	9197	30237	2	0
C124	PF00069	super_39	1628750	1824585	6	5
C125	PF00069	super_29	1771079	2267272	4	34
C126	PF00069	super_376	4044	89255	3	4
C127	PF00069	super_37	174939	683559	4	23
C128	PF00069	super_356	18212	114853	2	3
C129	PF00069	super_311	5447	80828	2	6
C130	PF00069	super_31	969297	1018076	2	2
C131	PF00069	super_30	336145	422302	2	5
C132	PF00069	super_3	4429733	4499511	2	5
C133	PF00069	super_3	3042834	3314185	2	18
C134	PF00069	super_50	536069	685746	2	11
C135	PF00069	super_287	49212	108617	2	8
C136	PF00069	super_28	1738225	1815159	2	2
C137	PF00069	super_27	1775892	1809449	2	4
C138	PF00069	super_27	441620	905994	2	39
C139	PF00069	super_26	2025343	2656619	3	50
C140	PF00069	super_38	1504708	1933280	2	31
C141	PF00069	super_52	170793	581766	2	33
C142	PF00069	super_64	1221456	1568865	3	23
C143	PF00069	super_534	2	27245	2	1
C144	PF00069	super_99	931956	1162777	2	14
C145	PF00069	super_98	649036	1019416	3	30
C146	PF00069	super_91	370787	410813	2	2
C147	PF00069	super_90	8012	1077056	6	86
C148	PF00069	super_89	478666	870976	2	26
C149	PF00069	super_87	218211	697577	4	36
C150	PF00069	super_86	937888	1135633	2	10
C151	PF00069	super_84	1349818	1407332	2	5
C152	PF00069	super_80	1332744	1482126	2	9
C153	PF00069	super_80	7021	361190	2	24
C154	PF00069	super_8	2355865	2678327	4	15
C155	PF00069	super_78	114682	254669	2	5
C156	PF00069	super_77	26735	854155	5	54
C157	PF00069	super_76	719349	1032527	2	14
C158	PF00069	super_74	557660	1155068	3	42
C159	PF00069	super_73	1119698	1500376	2	26
C160	PF00069	super_71	631919	699510	2	1
C161	PF00069	super_7	4554460	4951378	3	24
C162	PF00069	super_7	3130046	3208684	2	3
C163	PF00069	super_65	1214311	1410650	2	16
C164	PF00069	super_65	199670	231024	2	2
C165	PF00069	super_63	1440880	1549280	2	7
C166	PF00069	super_61	304629	1003479	5	45
C167	PF00069	super_6	3275100	3883285	3	49
C168	PF00069	super_6	1926800	2134813	2	5
C169	PF00069	super_59	912344	1020089	3	1
C170	PF00069	super_57	586796	1344755	4	53
C171	PF00069	super_56	1342369	1595928	2	9
C172	PF00069	super_54	66621	86561	2	1
C173	PF00069	super_53	825564	1550359	3	55
C174	PF00069	super_25	1302771	1776126	2	29
C175	PF00069	super_109	622797	898558	2	22
C176	PF00069	super_24	38338	877395	6	46
C177	PF00069	super_14	218917	369840	2	11
C178	PF00069	super_137	38877	184605	2	7
C179	PF00069	super_134	346333	568077	2	15
C180	PF00069	super_131	693394	913784	2	13
C181	PF00069	super_245	32399	284497	6	13
C182	PF00069	super_130	672157	722475	2	0
C183	PF00069	super_13	3194190	3680457	2	39
C184	PF00069	super_13	2437777	2588014	2	8
C185	PF00069	super_123	868048	957122	2	7
C186	PF00069	super_12	2430633	2453557	2	0
C187	PF00069	super_117	177299	191618	2	0
C188	PF00069	super_115	680576	797961	2	9
C189	PF00069	super_109	86560	115184	2	0
C190	PF00069	super_105	1062069	1094786	3	1
C191	PF00069	super_103	553254	599279	3	1
C192	PF00069	super_102	179935	619569	2	34
C193	PF00069	super_100	947079	1054427	2	5
C194	PF00069	super_10	1374297	1837481	4	38
C195	PF00069	super_1	4807302	4935139	2	5
C196	PF00069	super_1	3610367	3930604	3	20
C197	PF00069	super_1	2627571	2865470	3	7
C198	PF00069	super_1	70845	273841	2	13
C199	PF00069	super_0	11460426	11489099	2	2
C200	PF00069	super_0	9657577	9710004	2	5
C201	PF00069	super_0	8165328	8216969	2	2
C202	PF00069	super_0	6008385	6174994	4	3
C203	PF00069	super_0	4014937	4438645	2	16
C204	PF00069	super_0	2524583	2578162	2	3
C205	PF00069	super_0	281121	689042	4	37
C206	PF00069	super_14	3642313	3869913	3	18
C207	PF00069	super_141	214369	232210	2	1
C208	PF00069	super_131	129058	157385	2	1
C209	PF00069	super_146	340670	548611	7	13
C210	PF00069	super_238	189659	318833	4	9
C211	PF00069	super_232	189405	214421	2	0
C212	PF00069	super_229	119717	385359	2	15
C213	PF00069	super_225	246370	285248	2	1
C214	PF00069	super_22	2282851	2561905	3	16
C215	PF00069	super_22	57955	798353	3	51
C216	PF00069	super_215	159122	327153	2	17
C217	PF00069	super_210	209605	446780	8	0
C218	PF00069	super_21	965444	1054356	2	5
C219	PF00069	super_144	2215	27564	2	2
C220	PF00069	super_208	93927	485350	2	32
C221	PF00069	super_207	196146	412831	3	14
C222	PF00069	super_20	74071	206662	2	6
C223	PF00069	super_2	3730359	4631062	5	53
C224	PF00069	super_19	3047459	3382240	2	27
C225	PF00069	super_209	244384	359309	3	9
C226	PF00069	super_19	153982	558084	3	25
C227	PF00069	super_19	1404839	1745709	2	22
C228	PF00069	super_15	628728	745206	2	14
C229	PF00069	super_15	1751065	2547385	4	52
C230	PF00069	super_150	175140	696326	3	26
C231	PF00069	super_16	451091	944356	2	40
C232	PF00069	super_16	3043226	3536455	3	25
C233	PF00069	super_163	2338	199392	2	15
C234	PF00069	super_148	652333	732067	4	5
C235	PF00069	super_171	285423	527935	2	16
C236	PF00069	super_172	236831	516911	2	16
C237	PF00069	super_18	903621	1430990	3	27
C238	PF00069	super_181	374849	433781	4	3
C239	PF00069	super_187	206943	430901	2	19
C240	PF00069	super_17	1041451	1306210	4	15
C241	PF00071	super_20	2612520	2693058	2	5
C242	PF00072	super_44	767841	1174275	2	26
C243	PF00076	super_33	1590773	1673926	2	7
C244	PF00076	super_4	1568936	1616166	2	1
C245	PF00076	super_40	1386444	1705001	3	29
C246	PF00076	super_44	144604	589248	2	27
C247	PF00076	super_44	1707312	2014423	3	19
C248	PF00076	super_80	1117705	1457619	2	26
C249	PF00076	super_65	1302335	1317384	2	0
C250	PF00076	super_67	1215126	1465400	3	15
C251	PF00076	super_99	601299	658231	2	4
C252	PF00076	super_32	2204445	2422436	2	18
C253	PF00076	super_6	4032543	4256372	2	21
