category	n_clusters	n_ft	n_bs	max_ft	max_bs	min_ft	min_bs
PF00004	11	23	190	3	51	2	0
PF00005	14	33	174	4	24	2	0
PF00006	1	2	0	2	0	2	0
PF00009	3	6	16	2	13	2	1
PF00010	7	14	107	2	31	2	0
PF00011	5	12	20	4	20	2	0
PF00012	2	5	15	3	9	2	6
PF00013	1	2	7	2	7	2	7
PF00022	1	2	18	2	18	2	18
PF00025	3	8	59	4	34	2	8
PF00026	2	5	48	3	32	2	16
PF00027	2	4	11	2	11	2	0
PF00043	7	20	4	6	2	2	0
PF00046	7	14	13	2	5	2	0
PF00067	43	123	448	6	67	2	0
PF00069	131	354	2206	8	86	2	0
PF00071	1	2	5	2	5	2	5
PF00072	1	2	26	2	26	2	26
PF00076	25	59	426	4	35	2	0
PF00078	39	87	420	4	37	2	0
PF00081	1	2	1	2	1	2	1
PF00082	1	2	0	2	0	2	0
PF00085	7	15	156	3	61	2	6
PF00091	3	8	0	3	0	2	0
PF00097	1	2	0	2	0	2	0
PF00098	32	75	287	5	39	2	0
PF00106	2	4	1	2	1	2	0
PF00107	7	20	4	7	3	2	0
PF00112	1	2	9	2	9	2	9
PF00118	1	2	9	2	9	2	9
PF00119	1	2	3	2	3	2	3
PF00120	2	4	0	2	0	2	0
PF00122	3	6	50	2	29	2	0
PF00125	1	2	0	2	0	2	0
PF00134	2	4	17	2	15	2	2
PF00139	4	18	17	9	6	2	1
PF00140	1	2	16	2	16	2	16
PF00141	17	45	22	6	7	2	0
PF00149	4	8	51	2	21	2	0
PF00153	13	26	138	2	35	2	0
PF00160	1	2	0	2	0	2	0
PF00163	1	2	9	2	9	2	9
PF00164	1	2	0	2	0	2	0
PF00168	5	10	64	2	24	2	5
PF00169	1	2	24	2	24	2	24
PF00170	1	2	3	2	3	2	3
PF00171	1	2	0	2	0	2	0
PF00179	10	23	168	3	63	2	0
PF00182	2	4	15	2	14	2	1
PF00187	2	6	4	4	3	2	1
PF00190	7	17	30	5	22	2	0
PF00195	3	6	3	2	2	2	0
PF00198	1	2	26	2	26	2	26
PF00201	5	14	5	4	4	2	0
PF00221	1	2	2	2	2	2	2
PF00224	1	2	2	2	2	2	2
PF00225	5	10	79	2	35	2	2
PF00226	11	24	96	3	31	2	0
PF00227	3	6	9	2	8	2	0
PF00230	2	4	17	2	17	2	0
PF00238	1	2	8	2	8	2	8
PF00240	3	6	25	2	24	2	0
PF00244	2	5	6	3	3	2	3
PF00248	5	22	43	13	25	2	0
PF00249	17	37	240	4	38	2	0
PF00251	3	8	2	3	2	2	0
PF00264	1	2	2	2	2	2	2
PF00270	7	14	78	2	30	2	0
PF00271	15	32	236	3	47	2	0
PF00274	1	2	3	2	3	2	3
PF00291	2	5	3	3	3	2	0
PF00294	1	2	9	2	9	2	9
PF00305	2	4	2	2	1	2	1
PF00313	1	2	2	2	2	2	2
PF00314	4	8	3	2	2	2	0
PF00319	1	2	4	2	4	2	4
PF00332	2	5	36	3	36	2	0
PF00350	3	6	3	2	2	2	0
PF00355	1	3	6	3	6	3	6
PF00361	2	5	10	3	10	2	0
PF00364	1	2	26	2	26	2	26
PF00385	15	33	122	3	33	2	0
PF00397	1	2	23	2	23	2	23
PF00400	31	68	514	4	42	2	0
PF00403	15	48	160	11	37	2	0
PF00407	6	18	8	6	8	2	0
PF00412	1	2	17	2	17	2	17
PF00439	1	2	25	2	25	2	25
PF00450	1	2	0	2	0	2	0
PF00462	3	8	32	3	32	2	0
PF00464	1	2	1	2	1	2	1
PF00466	1	2	5	2	5	2	5
PF00467	1	2	6	2	6	2	6
PF00481	2	8	3	6	3	2	0
PF00487	2	4	35	2	35	2	0
PF00498	1	2	17	2	17	2	17
PF00501	3	6	15	2	9	2	0
PF00504	5	10	33	2	33	2	0
